index,a,a1x,a2y,b,b1x,b2y
0,1,501840.7579,185681.5922,0,0.0,0.0
1,1,502808.3026,186667.6431,0,0.0,0.0
2,1,502509.0642,186961.71399999998,0,0.0,0.0
3,1,502543.4907,185883.5306,0,0.0,0.0
4,1,502564.6479,186577.9906,0,0.0,0.0
5,1,502324.3658,186926.2164,0,0.0,0.0
6,1,502195.2512,186619.9606,0,0.0,0.0
7,1,502669.0723,186737.2339,0,0.0,0.0
8,1,502147.1281,186206.7483,0,0.0,0.0
9,1,502503.3627,186101.5976,0,0.0,0.0
10,1,502003.7869,185936.8968,0,0.0,0.0
11,1,502655.8466,187046.4226,0,0.0,0.0
12,1,502081.9333,186725.4871,0,0.0,0.0
13,1,501853.5655,185720.7154,0,0.0,0.0
14,1,503000.2175,186437.0365,0,0.0,0.0
15,1,502335.76700000005,186613.8185,0,0.0,0.0
16,1,502832.4344,186672.7817,0,0.0,0.0
17,1,503029.8214,186066.3973,0,0.0,0.0
18,1,501992.9649,186139.4315,0,0.0,0.0
19,1,502878.8885,186383.0829,0,0.0,0.0
20,1,502266.9121,185838.5017,0,0.0,0.0
21,1,502731.2517,187066.7343,0,0.0,0.0
22,1,502417.4975,186491.2157,0,0.0,0.0
23,1,501895.7098,186555.2145,0,0.0,0.0
24,1,502309.852,186265.4926,0,0.0,0.0
25,1,502638.1138,186420.5912,0,0.0,0.0
26,1,501905.9657,186339.2029,0,0.0,0.0
27,1,501917.8006,185803.3556,0,0.0,0.0
28,1,502874.3777,186510.9811,0,0.0,0.0
29,1,501970.8604,186344.4941,0,0.0,0.0
30,1,502019.5763,186314.3316,0,0.0,0.0
31,1,502029.5132,186526.218,0,0.0,0.0
32,1,502724.6407,186882.8441,0,0.0,0.0
33,1,501767.9701,186600.6555,0,0.0,0.0
34,1,502378.6218,186728.9905,0,0.0,0.0
35,1,502442.4348,186355.0339,0,0.0,0.0
36,1,502598.8781,187175.6004,0,0.0,0.0
37,1,502107.0028,185824.2141,0,0.0,0.0
38,1,502367.2252,187070.4456,0,0.0,0.0
39,1,502547.0539,186039.6532,0,0.0,0.0
40,1,502675.5846,186974.2714,0,0.0,0.0
41,1,502058.9049,186106.4866,0,0.0,0.0
42,1,501820.4461,185993.1177,0,0.0,0.0
43,1,502214.8486,185866.5808,0,0.0,0.0
44,1,501895.035,186046.2352,0,0.0,0.0
45,1,502453.1453,186755.0388,0,0.0,0.0
46,1,502300.1347,186774.5548,0,0.0,0.0
47,1,502486.2773,185976.2753,0,0.0,0.0
48,1,502215.2627,186784.7652,0,0.0,0.0
49,1,502913.3413,186334.1664,0,0.0,0.0
50,1,501569.7876,186887.6816,0,0.0,0.0
51,1,501753.5259,186339.4888,0,0.0,0.0
52,1,502781.0892,186129.0847,0,0.0,0.0
53,1,501948.7109,186858.7403,0,0.0,0.0
54,0,0.0,0.0,1,501840.7579,185681.5922
55,0,0.0,0.0,1,502808.3026,186667.6431
56,0,0.0,0.0,1,502509.0642,186961.71399999998
57,0,0.0,0.0,1,502543.4907,185883.5306
58,0,0.0,0.0,1,502564.6479,186577.9906
59,0,0.0,0.0,1,502324.3658,186926.2164
60,0,0.0,0.0,1,502195.2512,186619.9606
61,0,0.0,0.0,1,502669.0723,186737.2339
62,0,0.0,0.0,1,502147.1281,186206.7483
63,0,0.0,0.0,1,502503.3627,186101.5976
64,0,0.0,0.0,1,502003.7869,185936.8968
65,0,0.0,0.0,1,502655.8466,187046.4226
66,0,0.0,0.0,1,502081.9333,186725.4871
67,0,0.0,0.0,1,501853.5655,185720.7154
68,0,0.0,0.0,1,503000.2175,186437.0365
69,0,0.0,0.0,1,502335.76700000005,186613.8185
70,0,0.0,0.0,1,502832.4344,186672.7817
71,0,0.0,0.0,1,503029.8214,186066.3973
72,0,0.0,0.0,1,501992.9649,186139.4315
73,0,0.0,0.0,1,502878.8885,186383.0829
74,0,0.0,0.0,1,502266.9121,185838.5017
75,0,0.0,0.0,1,502731.2517,187066.7343
76,0,0.0,0.0,1,502417.4975,186491.2157
77,0,0.0,0.0,1,501895.7098,186555.2145
78,0,0.0,0.0,1,502309.852,186265.4926
79,0,0.0,0.0,1,502638.1138,186420.5912
80,0,0.0,0.0,1,501905.9657,186339.2029
81,0,0.0,0.0,1,501917.8006,185803.3556
82,0,0.0,0.0,1,502874.3777,186510.9811
83,0,0.0,0.0,1,501970.8604,186344.4941
84,0,0.0,0.0,1,502019.5763,186314.3316
85,0,0.0,0.0,1,502029.5132,186526.218
86,0,0.0,0.0,1,502724.6407,186882.8441
87,0,0.0,0.0,1,501767.9701,186600.6555
88,0,0.0,0.0,1,502378.6218,186728.9905
89,0,0.0,0.0,1,502442.4348,186355.0339
90,0,0.0,0.0,1,502598.8781,187175.6004
91,0,0.0,0.0,1,502107.0028,185824.2141
92,0,0.0,0.0,1,502367.2252,187070.4456
93,0,0.0,0.0,1,502547.0539,186039.6532
94,0,0.0,0.0,1,502675.5846,186974.2714
95,0,0.0,0.0,1,502058.9049,186106.4866
96,0,0.0,0.0,1,501820.4461,185993.1177
97,0,0.0,0.0,1,502214.8486,185866.5808
98,0,0.0,0.0,1,501895.035,186046.2352
99,0,0.0,0.0,1,502453.1453,186755.0388
100,0,0.0,0.0,1,502300.1347,186774.5548
101,0,0.0,0.0,1,502486.2773,185976.2753
102,0,0.0,0.0,1,502215.2627,186784.7652
103,0,0.0,0.0,1,502913.3413,186334.1664
104,0,0.0,0.0,1,501569.7876,186887.6816
105,0,0.0,0.0,1,501753.5259,186339.4888
106,0,0.0,0.0,1,502781.0892,186129.0847
107,0,0.0,0.0,1,501948.7109,186858.7403
