index,a,b,Delta_x,Delta_y
0,501840.76,-185681.5922,1,0
1,502808.3,-186667.6431,1,0
2,502509.06,-186961.714,1,0
3,502543.49,-185883.5306,1,0
4,502564.65,-186577.9906,1,0
5,502324.37,-186926.2164,1,0
6,502195.25,-186619.9606,1,0
7,502669.07,-186737.2339,1,0
8,502147.13,-186206.7483,1,0
9,502503.36,-186101.5976,1,0
10,502003.79,-185936.8968,1,0
11,502655.85,-187046.4226,1,0
12,502081.93,-186725.4871,1,0
13,501853.57,-185720.7154,1,0
14,503000.22,-186437.0365,1,0
15,502335.77,-186613.8185,1,0
16,502832.43,-186672.7817,1,0
17,503029.82,-186066.3973,1,0
18,501992.96,-186139.4315,1,0
19,502878.89,-186383.0829,1,0
20,502266.91,-185838.5017,1,0
21,502731.25,-187066.7343,1,0
22,502417.5,-186491.2157,1,0
23,501895.71,-186555.2145,1,0
24,502309.85,-186265.4926,1,0
25,502638.11,-186420.5912,1,0
26,501905.97,-186339.2029,1,0
27,501917.8,-185803.3556,1,0
28,502874.38,-186510.9811,1,0
29,501970.86,-186344.4941,1,0
30,502019.58,-186314.3316,1,0
31,502029.51,-186526.218,1,0
32,502724.64,-186882.8441,1,0
33,501767.97,-186600.6555,1,0
34,502378.62,-186728.9905,1,0
35,502442.43,-186355.0339,1,0
36,502598.88,-187175.6004,1,0
37,502107.0,-185824.2141,1,0
38,502367.23,-187070.4456,1,0
39,502547.05,-186039.6532,1,0
40,502675.58,-186974.2714,1,0
41,502058.9,-186106.4866,1,0
42,501820.45,-185993.1177,1,0
43,502214.85,-185866.5808,1,0
44,501895.03,-186046.2352,1,0
45,502453.15,-186755.0388,1,0
46,502300.13,-186774.5548,1,0
47,502486.28,-185976.2753,1,0
48,502215.26,-186784.7652,1,0
49,502913.34,-186334.1664,1,0
50,501569.79,-186887.6816,1,0
51,501753.53,-186339.4888,1,0
52,502781.09,-186129.0847,1,0
53,501948.71,-186858.7403,1,0
54,185681.59,501840.76,0,1
55,186667.64,502808.3,0,1
56,186961.71,502509.06,0,1
57,185883.53,502543.49,0,1
58,186577.99,502564.65,0,1
59,186926.22,502324.37,0,1
60,186619.96,502195.25,0,1
61,186737.23,502669.07,0,1
62,186206.75,502147.13,0,1
63,186101.6,502503.36,0,1
64,185936.9,502003.79,0,1
65,187046.42,502655.85,0,1
66,186725.49,502081.93,0,1
67,185720.72,501853.57,0,1
68,186437.04,503000.22,0,1
69,186613.82,502335.77,0,1
70,186672.78,502832.43,0,1
71,186066.4,503029.82,0,1
72,186139.43,501992.96,0,1
73,186383.08,502878.89,0,1
74,185838.5,502266.91,0,1
75,187066.73,502731.25,0,1
76,186491.22,502417.5,0,1
77,186555.21,501895.71,0,1
78,186265.49,502309.85,0,1
79,186420.59,502638.11,0,1
80,186339.2,501905.97,0,1
81,185803.36,501917.8,0,1
82,186510.98,502874.38,0,1
83,186344.49,501970.86,0,1
84,186314.33,502019.58,0,1
85,186526.22,502029.51,0,1
86,186882.84,502724.64,0,1
87,186600.66,501767.97,0,1
88,186728.99,502378.62,0,1
89,186355.03,502442.43,0,1
90,187175.6,502598.88,0,1
91,185824.21,502107.0,0,1
92,187070.45,502367.23,0,1
93,186039.65,502547.05,0,1
94,186974.27,502675.58,0,1
95,186106.49,502058.9,0,1
96,185993.12,501820.45,0,1
97,185866.58,502214.85,0,1
98,186046.24,501895.03,0,1
99,186755.04,502453.15,0,1
100,186774.55,502300.13,0,1
101,185976.28,502486.28,0,1
102,186784.77,502215.26,0,1
103,186334.17,502913.34,0,1
104,186887.68,501569.79,0,1
105,186339.49,501753.53,0,1
106,186129.08,502781.09,0,1
107,186858.74,501948.71,0,1
